date,year,timestamp,latitude,longitude,velocity
8/25/2014,2014,2014-08-25T01:23:15Z,39.971,-83.005,230
8/25/2014,2014,2014-08-25T12:27:35Z,39.970,-83.004,230
8/25/2014,2014,2014-08-25T21:58:58Z,39.974,-83.018,222
8/25/2014,2014,2014-08-25T22:01:02Z,39.986,-83.023,224
8/25/2014,2014,2014-08-25T22:03:04Z,39.988,-83.029,223
8/26/2014,2014,2014-08-26T01:02:07Z,39.989,-83.033,225
8/26/2014,2014,2014-08-26T01:07:03Z,39.974,-83.019,223
8/26/2014,2014,2014-08-26T01:09:17Z,39.972,-83.005,227
8/26/2014,2014,2014-08-26T12:26:13Z,39.968,-83.003,233
8/26/2014,2014,2014-08-26T15:28:48Z,39.963,-83.002,226
8/26/2014,2014,2014-08-26T16:44:13Z,39.963,-83.005,222
8/27/2014,2014,2014-08-27T02:01:48Z,39.970,-83.005,229
8/27/2014,2014,2014-08-27T12:29:42Z,39.970,-83.004,228
8/27/2014,2014,2014-08-27T16:53:56Z,39.979,-82.979,240
8/27/2014,2014,2014-08-27T16:55:02Z,39.981,-82.956,235
8/27/2014,2014,2014-08-27T16:55:08Z,39.981,-82.954,233
8/27/2014,2014,2014-08-27T16:56:18Z,39.989,-82.938,230
8/27/2014,2014,2014-08-27T16:57:28Z,40.000,-82.923,250
8/27/2014,2014,2014-08-27T16:58:32Z,40.000,-82.905,240
8/27/2014,2014,2014-08-27T16:58:53Z,39.999,-82.899,242
8/27/2014,2014,2014-08-27T16:59:37Z,39.998,-82.89,240
8/27/2014,2014,2014-08-27T17:03:51Z,39.998,-82.884,248
8/27/2014,2014,2014-08-27T19:33:17Z,38.951,-77.452,87
